kategorie,aktivitaet,geschlecht,durchschnittliche_zeit_h,anteil_ausuebende_prozent,zeit_ausuebende_h,differenz_anteil,differenz_zeit,differenz_rel
Freiwilligentätigkeiten,Hilfeleistung für eine erwachsene Person eines anderen Haushalts,Frauen,0.03333333333333333,4.2,1.5666666666666667,0.20000000000000018,-0.01666666666666667,4.87804878048781
Freiwilligentätigkeiten,Hilfeleistung für eine erwachsene Person eines anderen Haushalts,Männer,0.05,4,1.85,0.20000000000000018,-0.01666666666666667,4.87804878048781
Freiwilligentätigkeiten,Andere und nicht näher bestimmte informelle Hilfe für einen anderen Haushalt,Frauen,0.05,8.2,1.3,2.5999999999999996,0.01666666666666667,37.68115942028985
Freiwilligentätigkeiten,Andere und nicht näher bestimmte informelle Hilfe für einen anderen Haushalt,Männer,0.03333333333333333,5.6,1.4666666666666668,2.5999999999999996,0.01666666666666667,37.68115942028985
Freiwilligentätigkeiten,"Teilnahme an Veranstaltungen, Vereinstreffen",Frauen,0.016666666666666666,0.9,3.15,-0.6,0,-50
Freiwilligentätigkeiten,"Teilnahme an Veranstaltungen, Vereinstreffen",Männer,0.016666666666666666,1.5,2.716666666666667,-0.6,0,-50
Freiwilligentätigkeiten,Religiöse Aktivitäten,Frauen,0.05,7.4,1.25,2,0.01666666666666667,31.25
Freiwilligentätigkeiten,Religiöse Aktivitäten,Männer,0.03333333333333333,5.4,1.5833333333333335,2,0.01666666666666667,31.25
Freiwilligentätigkeiten,Friedhofsbesuch und Grabpflege,Frauen,0.016666666666666666,4.1,0.7,2.1999999999999997,0,73.33333333333333
Freiwilligentätigkeiten,Friedhofsbesuch und Grabpflege,Männer,0.016666666666666666,1.9,0.9166666666666666,2.1999999999999997,0,73.33333333333333
Freiwilligentätigkeiten,Andere und nicht näher bestimmte partizipative Tätigkeiten,Frauen,0,0.5,0.9166666666666666,0,0,0
Freiwilligentätigkeiten,Andere und nicht näher bestimmte partizipative Tätigkeiten,Männer,0,0.5,0.7833333333333333,0,0,0
Freiwilligentätigkeiten,"Wege für Freiwilligentätigkeit, informelle Hilfe, partizipative und religiöse Aktivitäten",Frauen,0.03333333333333333,10.4,0.75,1.3000000000000007,0,13.333333333333341
Freiwilligentätigkeiten,"Wege für Freiwilligentätigkeit, informelle Hilfe, partizipative und religiöse Aktivitäten",Männer,0.03333333333333333,9.1,0.7166666666666667,1.3000000000000007,0,13.333333333333341
Soziale Kontakte und Freizeit,Soziale Kontakte und Freizeit - Gesamt,Frauen,5.316666666666666,99.8,5.416666666666667,0,-0.5333333333333332,0
Soziale Kontakte und Freizeit,Soziale Kontakte und Freizeit - Gesamt,Männer,5.85,99.8,6.033333333333333,0,-0.5333333333333332,0
Soziale Kontakte und Freizeit,Interaktion mit Haushaltsmitgliedern,Frauen,0.08333333333333333,16.7,0.8833333333333333,2.299999999999999,0,14.79099678456591
Soziale Kontakte und Freizeit,Interaktion mit Haushaltsmitgliedern,Männer,0.08333333333333333,14.4,0.9333333333333333,2.299999999999999,0,14.79099678456591
Soziale Kontakte und Freizeit,Haushaltsfremde Personen empfangen und besuchen,Frauen,0.26666666666666666,27.7,1.7833333333333332,4.699999999999999,0.04999999999999999,18.540433925049307
Soziale Kontakte und Freizeit,Haushaltsfremde Personen empfangen und besuchen,Männer,0.21666666666666667,23,1.8833333333333333,4.699999999999999,0.04999999999999999,18.540433925049307
Soziale Kontakte und Freizeit,Private Feste,Frauen,0.13333333333333333,7.6,4.1,0.39999999999999947,0.016666666666666663,5.405405405405398
Soziale Kontakte und Freizeit,Private Feste,Männer,0.11666666666666667,7.2,4.083333333333333,0.39999999999999947,0.016666666666666663,5.405405405405398
Soziale Kontakte und Freizeit,Audio- und Videoanrufe,Frauen,0.11666666666666667,26.2,0.6666666666666666,12,0.06666666666666667,59.4059405940594
Soziale Kontakte und Freizeit,Audio- und Videoanrufe,Männer,0.05,14.2,0.6,12,0.06666666666666667,59.4059405940594
Soziale Kontakte und Freizeit,Kommunikation über Textnachrichten,Frauen,0.08333333333333333,19.3,0.6833333333333333,3.3000000000000007,0,18.696883852691222
Soziale Kontakte und Freizeit,Kommunikation über Textnachrichten,Männer,0.08333333333333333,16,0.7833333333333333,3.3000000000000007,0,18.696883852691222
Soziale Kontakte und Freizeit,Nutzung von sozialen Medien,Frauen,0.03333333333333333,7.3,0.9333333333333333,1.7999999999999998,0.016666666666666666,28.124999999999993
Soziale Kontakte und Freizeit,Nutzung von sozialen Medien,Männer,0.016666666666666666,5.5,0.7333333333333333,1.7999999999999998,0.016666666666666666,28.124999999999993
Soziale Kontakte und Freizeit,Andere und nicht näher bestimmte soziale Kontakte,Frauen,0.2833333333333333,27.8,1.8333333333333335,2.8000000000000007,0,10.606060606060609
Soziale Kontakte und Freizeit,Andere und nicht näher bestimmte soziale Kontakte,Männer,0.2833333333333333,25,2.1,2.8000000000000007,0,10.606060606060609
Soziale Kontakte und Freizeit,Kino,Frauen,0.016666666666666666,1.6,2.3833333333333333,0.40000000000000013,0,28.57142857142858
Soziale Kontakte und Freizeit,Kino,Männer,0.016666666666666666,1.2,2.4333333333333336,0.40000000000000013,0,28.57142857142858
Soziale Kontakte und Freizeit,"Theater, Konzert und Oper",Frauen,0.016666666666666666,1.5,3.05,0.30000000000000004,0,22.222222222222225
Soziale Kontakte und Freizeit,"Theater, Konzert und Oper",Männer,0.016666666666666666,1.2,2.8666666666666667,0.30000000000000004,0,22.222222222222225
Soziale Kontakte und Freizeit,"Ausstellungen, Museen und Sehenswürdigkeiten",Frauen,0.016666666666666666,1.8,3.15,0.5,0,32.25806451612903
Soziale Kontakte und Freizeit,"Ausstellungen, Museen und Sehenswürdigkeiten",Männer,0.016666666666666666,1.3,2.183333333333333,0.5,0,32.25806451612903
Soziale Kontakte und Freizeit,Besuch von Sportveranstaltungen,Frauen,0.016666666666666666,1.2,2.8166666666666664,-0.8,-0.016666666666666666,-50
Soziale Kontakte und Freizeit,Besuch von Sportveranstaltungen,Männer,0.03333333333333333,2,3.7666666666666666,-0.8,-0.016666666666666666,-50
Soziale Kontakte und Freizeit,Andere und nicht näher bestimmte Unterhaltung und Kultur,Frauen,0.06666666666666667,5.3,3.3,0,-0.016666666666666663,0
Soziale Kontakte und Freizeit,Andere und nicht näher bestimmte Unterhaltung und Kultur,Männer,0.08333333333333333,5.3,3.6666666666666665,0,-0.016666666666666663,0
Soziale Kontakte und Freizeit,Ausruhen und Pause,Frauen,0.45,47.1,1.4,4.300000000000004,0,9.566184649610687
Soziale Kontakte und Freizeit,Ausruhen und Pause,Männer,0.45,42.8,1.6333333333333333,4.300000000000004,0,9.566184649610687
Soziale Kontakte und Freizeit,Spazieren gehen und Wandern,Frauen,0.36666666666666664,36.9,1.6166666666666667,5.5,0.04999999999999999,16.105417276720353
Soziale Kontakte und Freizeit,Spazieren gehen und Wandern,Männer,0.31666666666666665,31.4,1.8333333333333335,5.5,0.04999999999999999,16.105417276720353
Soziale Kontakte und Freizeit,Joggen und Laufen,Frauen,0.016666666666666666,2.5,1.25,-0.5,0,-18.181818181818183
Soziale Kontakte und Freizeit,Joggen und Laufen,Männer,0.016666666666666666,3,1.2,-0.5,0,-18.181818181818183
Soziale Kontakte und Freizeit,"Radfahren, Skifahren und Skaten",Frauen,0.05,5.4,2.15,-3.1999999999999993,-0.05,-45.7142857142857
Soziale Kontakte und Freizeit,"Radfahren, Skifahren und Skaten",Männer,0.1,8.6,2.35,-3.1999999999999993,-0.05,-45.7142857142857
Soziale Kontakte und Freizeit,Ballsport,Frauen,0.016666666666666666,2,2.15,-4,-0.06666666666666667,-100
Soziale Kontakte und Freizeit,Ballsport,Männer,0.08333333333333333,6,2.3666666666666667,-4,-0.06666666666666667,-100
